speaker_type,cum_dur,voc_count,turns,cds_dur,annotation_filename,recording_filename,filename,child_id,date_iso,min_duration
OCH,2864.0010000006278,2544,644,1483.0600000003233,vtc/1_CW5_CH5_AJ04_AJ03_190620_0_0.csv,1_CW5_CH5_AJ04_AJ03_190620.WAV,1_CW5_CH5_AJ04_AJ03_190620.WAV,C17,2019-06-20,58035.74995800001
CHI,4498.073000000374,2600,1439,3686.9060000002055,vtc/1_CW4_CH4_AJ04_AJ17_190620_0_0.csv,1_CW4_CH4_AJ04_AJ17_190620.WAV,1_CW4_CH4_AJ04_AJ17_190620.WAV,C18,2019-06-20,51704.440396
FEM,8525.4440000008,3512,569,2365.381000000211,vtc/1_CW4_CH4_AJ04_AJ17_190620_0_0.csv,1_CW4_CH4_AJ04_AJ17_190620.WAV,1_CW4_CH4_AJ04_AJ17_190620.WAV,C18,2019-06-20,51704.440396
MAL,4636.985000000886,2399,297,1155.8330000002559,vtc/1_CW4_CH4_AJ04_AJ17_190620_0_0.csv,1_CW4_CH4_AJ04_AJ17_190620.WAV,1_CW4_CH4_AJ04_AJ17_190620.WAV,C18,2019-06-20,51704.440396
OCH,3287.048000000411,2683,612,1641.3920000002408,vtc/1_CW4_CH4_AJ04_AJ17_190620_0_0.csv,1_CW4_CH4_AJ04_AJ17_190620.WAV,1_CW4_CH4_AJ04_AJ17_190620.WAV,C18,2019-06-20,51704.440396
CHI,6296.330000000949,3615,1909,5033.489000000755,vtc/1_CW1_CH1_AJ04_AJ05_190620_0_0.csv,1_CW1_CH1_AJ04_AJ05_190620.WAV,1_CW1_CH1_AJ04_AJ05_190620.WAV,C19,2019-06-20,59089.756375
FEM,6569.232000000803,3489,886,2464.696000000268,vtc/1_CW1_CH1_AJ04_AJ05_190620_0_0.csv,1_CW1_CH1_AJ04_AJ05_190620.WAV,1_CW1_CH1_AJ04_AJ05_190620.WAV,C19,2019-06-20,59089.756375
MAL,1186.935000000131,900,136,374.6960000000612,vtc/1_CW1_CH1_AJ04_AJ05_190620_0_0.csv,1_CW1_CH1_AJ04_AJ05_190620.WAV,1_CW1_CH1_AJ04_AJ05_190620.WAV,C19,2019-06-20,59089.756375
OCH,4593.138000000701,3438,942,2659.6620000004946,vtc/1_CW1_CH1_AJ04_AJ05_190620_0_0.csv,1_CW1_CH1_AJ04_AJ05_190620.WAV,1_CW1_CH1_AJ04_AJ05_190620.WAV,C19,2019-06-20,59089.756375
CHI,8407.885000000886,4623,2455,6981.625000000725,vtc/1_CW2_CH2_AJ04_AJ22_190620_0_0.csv,1_CW2_CH2_AJ04_AJ22_190620.WAV,1_CW2_CH2_AJ04_AJ22_190620.WAV,C20,2019-06-20,54327.423041999995
FEM,10051.567000001034,5395,1114,3205.1860000003035,vtc/1_CW2_CH2_AJ04_AJ22_190620_0_0.csv,1_CW2_CH2_AJ04_AJ22_190620.WAV,1_CW2_CH2_AJ04_AJ22_190620.WAV,C20,2019-06-20,54327.423041999995
MAL,2639.502000000613,1994,190,443.62100000010093,vtc/1_CW2_CH2_AJ04_AJ22_190620_0_0.csv,1_CW2_CH2_AJ04_AJ22_190620.WAV,1_CW2_CH2_AJ04_AJ22_190620.WAV,C20,2019-06-20,54327.423041999995
OCH,7866.386000001188,5275,1380,4396.5590000004,vtc/1_CW2_CH2_AJ04_AJ22_190620_0_0.csv,1_CW2_CH2_AJ04_AJ22_190620.WAV,1_CW2_CH2_AJ04_AJ22_190620.WAV,C20,2019-06-20,54327.423041999995
CHI,7643.365000001262,3788,1906,5981.18300000103,vtc/1_CW4_CH4_AJ05_AJ07_190624_0_0.csv,1_CW4_CH4_AJ05_AJ07_190624.WAV,1_CW4_CH4_AJ05_AJ07_190624.WAV,C21,2019-06-24,52115.489292
FEM,6777.8460000008845,3863,623,1612.413000000212,vtc/1_CW4_CH4_AJ05_AJ07_190624_0_0.csv,1_CW4_CH4_AJ05_AJ07_190624.WAV,1_CW4_CH4_AJ05_AJ07_190624.WAV,C21,2019-06-24,52115.489292
MAL,2310.6340000001614,1655,175,489.6010000000071,vtc/1_CW4_CH4_AJ05_AJ07_190624_0_0.csv,1_CW4_CH4_AJ05_AJ07_190624.WAV,1_CW4_CH4_AJ05_AJ07_190624.WAV,C21,2019-06-24,52115.489292
OCH,7798.974000000949,5107,1212,3997.920000000664,vtc/1_CW4_CH4_AJ05_AJ07_190624_0_0.csv,1_CW4_CH4_AJ05_AJ07_190624.WAV,1_CW4_CH4_AJ05_AJ07_190624.WAV,C21,2019-06-24,52115.489292
CHI,1696.8210000002332,1239,705,1374.9190000002336,vtc/1_CW3_CH3_AJ05_AJ15_190624_0_0.csv,1_CW3_CH3_AJ05_AJ15_190624.WAV,1_CW3_CH3_AJ05_AJ15_190624.WAV,C22,2019-06-24,66935.53045800001
FEM,3837.94100000062,1872,303,1135.1020000002259,vtc/1_CW3_CH3_AJ05_AJ15_190624_0_0.csv,1_CW3_CH3_AJ05_AJ15_190624.WAV,1_CW3_CH3_AJ05_AJ15_190624.WAV,C22,2019-06-24,66935.53045800001
MAL,907.8020000002539,712,44,115.14800000003561,vtc/1_CW3_CH3_AJ05_AJ15_190624_0_0.csv,1_CW3_CH3_AJ05_AJ15_190624.WAV,1_CW3_CH3_AJ05_AJ15_190624.WAV,C22,2019-06-24,66935.53045800001
OCH,2868.020000000429,2218,337,1141.0510000002116,vtc/1_CW3_CH3_AJ05_AJ15_190624_0_0.csv,1_CW3_CH3_AJ05_AJ15_190624.WAV,1_CW3_CH3_AJ05_AJ15_190624.WAV,C22,2019-06-24,66935.53045800001
CHI,8693.589000000793,4439,2314,7034.87400000052,vtc/1_CW1_CH1_AJ05_AJ24_190624_0_0.csv,1_CW1_CH1_AJ05_AJ24_190624.WAV,1_CW1_CH1_AJ05_AJ24_190624.WAV,C23,2019-06-24,51740.285458
FEM,6297.043000001047,4037,888,2078.400000000447,vtc/1_CW1_CH1_AJ05_AJ24_190624_0_0.csv,1_CW1_CH1_AJ05_AJ24_190624.WAV,1_CW1_CH1_AJ05_AJ24_190624.WAV,C23,2019-06-24,51740.285458
MAL,4016.9880000009025,2397,363,1136.9630000003817,vtc/1_CW1_CH1_AJ05_AJ24_190624_0_0.csv,1_CW1_CH1_AJ05_AJ24_190624.WAV,1_CW1_CH1_AJ05_AJ24_190624.WAV,C23,2019-06-24,51740.285458
OCH,6801.79400000128,5044,1344,3423.07200000039,vtc/1_CW1_CH1_AJ05_AJ24_190624_0_0.csv,1_CW1_CH1_AJ05_AJ24_190624.WAV,1_CW1_CH1_AJ05_AJ24_190624.WAV,C23,2019-06-24,51740.285458
CHI,5129.288000000666,3282,1883,4353.444000000641,vtc/1_CW2_CH2_AJ05_AJ09_190624_0_0.csv,1_CW2_CH2_AJ05_AJ09_190624.WAV,1_CW2_CH2_AJ05_AJ09_190624.WAV,C24,2019-06-24,60969.602416999995
